author_country,author_link,author_name
 Australia ,https://www.dafont.com/karin-mccombes.d3713,Karin McCombes
 Australia ,https://www.dafont.com/kassy-o-shea.d8141,Kassy O'Shea
 Australia ,https://www.dafont.com/kate-matheson.d6174,Kate Matheson
 Australia ,https://www.dafont.com/kim-berry.d2576,Kim Berry
 Australia ,https://www.dafont.com/kristy-hatswell.d6828,Kristy Hatswell
 Australia ,https://www.dafont.com/lauren-corrente.d8296,Lauren Corrente
 Australia ,https://www.dafont.com/leigh-ericksen.d2552,Leigh Ericksen
 Australia ,https://www.dafont.com/libby.d4808,Libby
 Australia ,https://www.dafont.com/luke-breadon.d2177,Luke Breadon
 Australia ,https://www.dafont.com/marcus-byrne.d4990,Marcus Byrne
 Australia ,https://www.dafont.com/mark-kay.d3129,"Mark Kay, Tye Mortimer"
 Australia ,https://www.dafont.com/marko-rodic.d4185,Marko Rodic
 Australia ,https://www.dafont.com/marty-bampton.d4043,Marty Bampton
 Australia ,https://www.dafont.com/matthew-walker.d4985,Matthew Walker
 Australia ,https://www.dafont.com/n-c-e.d3712,N ! C E
 Australia ,https://www.dafont.com/natasha-cuddihy.d3088,Natasha Cuddihy
 Australia ,https://www.dafont.com/b-j-winzer.d7297,Omegaville - B.J. Winzer
 Australia ,https://www.dafont.com/ozza88.d2875,Ozza88
 Australia ,https://www.dafont.com/paragraph.d1762,Paragraph - Jan Schmoeger
 Australia ,https://www.dafont.com/paula-tennet.d5722,Paula Tennet
 Australia ,https://www.dafont.com/pearlygates.d252,Pearlygates - Sally Dixon
 Australia ,https://www.dafont.com/perry-johnson.d7046,Perry Johnson
 Australia ,https://www.dafont.com/peter-ovens-brown.d4266,Peter Ovens-Brown
 Australia ,https://www.dafont.com/rosie-tea.d4898,Rosie Tea
 Australia ,https://www.dafont.com/ruby-d.d2441,Ruby D
 Australia ,https://www.dafont.com/ryan-williamson.d6852,Ryan Williamson
 Australia ,https://www.dafont.com/samantha-nagle.d5751,Samantha Nagle
 Australia ,https://www.dafont.com/scarlett.d3149,Scarlett
 Australia ,https://www.dafont.com/sean-dalton.d5668,Sean Dalton
 Australia ,https://www.dafont.com/shaz-n-daz-st-qui.d3116,Shaz N Daz St. Qui
 Australia ,https://www.dafont.com/shelley-evans.d7737,Shelley Evans
 Australia ,https://www.dafont.com/tack-o-rama.d849,Tack-O-Rama - Josella Colquhoun
 Australia ,https://www.dafont.com/sean-martin.d2114,Tarnias - Sean Martin
 Australia ,https://www.dafont.com/fortress-tech.d7104,Taruny Incorporated
 Australia ,https://www.dafont.com/tim.d2507,Tim
 Australia ,https://www.dafont.com/trollax-kinora.d1230,Trollax Kinora
 Australia ,https://www.dafont.com/tyrone-rieschiek.d7521,Tyrone Rieschiek
 Australia ,https://www.dafont.com/vianca-crescini-magpantay.d4224,Vianca Crescini-Magpantay
 Australia ,https://www.dafont.com/melanie-cook.d1977,wiccked stepmother fonts - Melanie Cook
 Australia ,https://www.dafont.com/will-newby.d3014,Will Newby
 Australia ,https://www.dafont.com/tyler-jay-windsor.d7797,WOLVE-Fonts - Wolve Fonts
 Australia ,https://www.dafont.com/wraithwolf.d4619,wraith wolf - boxed in
 Australia ,https://www.dafont.com/sok-konjarski.d1789,Zoran Konjarski
 Chile ,https://www.dafont.com/eduardo-riveros.d4931,Adderou - Eduardo Riveros
 Chile ,https://www.dafont.com/andi.d1385,Andi anDi
 Chile ,https://www.dafont.com/angelica-figueroa.d3449,Angelica Figueroa
 Chile ,https://www.dafont.com/bejamin-muller.d5109,Bejamin Müller
 Chile ,https://www.dafont.com/jose-lobos.d1988,Beraka Design - José Beraka Lobos
 Chile ,https://www.dafont.com/cambiadechannel.d5082,cambiadechannel - Benjamin Rivera
 Chile ,https://www.dafont.com/daniel-hernandez.d2276,Daniel Hernández
 Chile ,https://www.dafont.com/david-barrera.d1593,David Barrera
 Chile ,https://www.dafont.com/david-koffe.d5302,David Koffe
 Chile ,https://www.dafont.com/miliciana.d3586,Fabian Flores
 Chile ,https://www.dafont.com/fabian-vera.d2013,Fabian Vera
 Chile ,https://www.dafont.com/falve.d6644,Falve - Esteban Rivas
 Chile ,https://www.dafont.com/felipe-fenrisvarg.d4421,Felipe Fenrisvarg
 Chile ,https://www.dafont.com/felipe-ibanez.d3328,Felipe Ibanez
 Chile ,https://www.dafont.com/felipe-meneses.d4693,Felipe Meneses
 Chile ,https://www.dafont.com/francisco-sepulveda-altamirano.d2837,Francisco Sepulveda Altamirano
 Chile ,https://www.dafont.com/gabriel-de-ioannes-becker.d1961,Gabriel De Ioannes Becker
 Chile ,https://www.dafont.com/fabula.d6292,Geneva - Genesis Vargas
 Chile ,https://www.dafont.com/german-gana.d1648,Germán  Gana
 Chile ,https://www.dafont.com/hefar-cantillana.d7821,Hefar Cantillana
 Chile ,https://www.dafont.com/ignacio-muNoz-flores.d2227,Ignacio Muñoz Flores
 Chile ,https://www.dafont.com/ignacio-ponce.d4963,Ignacio Ponce
 Chile ,https://www.dafont.com/c-toro.d5746,J. Toro
 Chile ,https://www.dafont.com/jeallowzz-ishikawa.d6386,Jeallowzz Ishikawa
 Chile ,https://www.dafont.com/jonathan-vivanco.d2040,Jonathan Vivanco
 Chile ,https://www.dafont.com/jose-fernandez.d1820,Jose Fernandez
 Chile ,https://www.dafont.com/juan-pablo-meza-recabarren.d4605,Juan Pablo  Meza Recabarren
 Chile ,https://www.dafont.com/latinotype.d2022,Latinotype - Latinotype LTDA
 Chile ,https://www.dafont.com/m-janet-mars.d2818,MarsCat
 Chile ,https://www.dafont.com/nicole-cepeda.d3972,Nicole Cepeda
 Chile ,https://www.dafont.com/pablo-espinosa.d2185,Pablo Espinosa
 Chile ,https://www.dafont.com/pascu-beckett.d1984,Pascu Beckett
 Chile ,https://www.dafont.com/patricio-zambra.d2911,Patricio Zambra
 Chile ,https://www.dafont.com/pedro-moreira.d2698,Pedro Moreira
 Chile ,https://www.dafont.com/liuna-virardi.d6236,Philippe Petitpas
 Chile ,https://www.dafont.com/benjamin-jimenez.d1649,Pin - Benjamin  Jimenez
 Chile ,https://www.dafont.com/rodrigo-araya.d5814,Rodrigo Araya
